 Soybean Oiler
   t                x                y                act              err
   0.00000000       1.00000000       0.00000000       1.00000000       0.00000000    
  0.100000001       1.00000000      -2.50000000      0.877582550      0.122417450    
  0.200000003      0.750000000      -5.00000000      0.540302277      0.209697723    
  0.300000012      0.250000000      -6.87500000       7.07371980E-02  0.179262802    
  0.400000006     -0.437500000      -7.50000000     -0.416146845       2.13531554E-02
  0.500000000      -1.18750000      -6.40625000     -0.801143587      0.386356413    
  0.600000024      -1.82812500      -3.43750000     -0.989992499      0.838132501    
  0.699999988      -2.17187500       1.13281250     -0.936456680       1.23541832    
  0.800000012      -2.05859375       6.56250000     -0.653643608       1.40495014    
  0.900000036      -1.40234375       11.7089844     -0.210795805       1.19154799    
   1.00000000     -0.231445312       15.2148438      0.283662200      0.515107512    
   1.10000002       1.29003906       15.7934570      0.708669782      0.581369281    
   1.20000005       2.86938477       12.5683594      0.960170269       1.90921450    
   1.30000007       4.12622070       5.39489746      0.976587534       3.14963317    
   1.39999998       4.66571045      -4.92065430      0.753902256       3.91180825    
   1.50000000       4.17364502      -16.5849304      0.346635312       3.82700968    
   1.60000002       2.51515198      -27.0190430     -0.145500034       2.66065192    
   1.70000005     -0.186752319      -33.3069229     -0.602011919      0.415259600    
   1.80000007      -3.51744461      -32.8400421     -0.911130250       2.60631442    
   1.89999998      -6.80144882      -24.0464306     -0.997172177       5.80427647    
   2.00000000      -9.20609188      -7.04280853     -0.839071512       8.36702061    

 Extra Virgin Olive Oiler
   t                x                y                act              err
   0.00000000       1.00000000       0.00000000       1.00000000       0.00000000    
  0.100000001      0.875000000      -2.50000000      0.877582550       2.58255005E-03
  0.200000003      0.515625000      -4.37500000      0.540302277       2.46772766E-02
  0.300000012       1.36718750E-02  -5.11718750       7.07371980E-02   5.70653230E-02
  0.400000006     -0.499755859      -4.51171875     -0.416146845       8.36090147E-02
  0.500000000     -0.888458252      -2.69836426     -0.801143587       8.73146653E-02
  0.600000024      -1.04723740     -0.139923096     -0.989992499       5.72448969E-02
  0.699999988     -0.930325031       2.49566078     -0.936456680       6.13164902E-03
  0.800000012     -0.564468324       4.50951576     -0.653643608       8.91752839E-02
  0.900000036      -4.29582000E-02   5.35699701     -0.210795805      0.167837605    
   1.00000000      0.498111308       4.79476786      0.283662200      0.214449108    
   1.10000002      0.915324211       2.95014381      0.708669782      0.206654429    
   1.20000005       1.09592307      0.293065310      0.960170269      0.135752797    
   1.30000007      0.988239229      -2.48337555      0.976587534       1.16516948E-02
   1.39999998      0.616371751      -4.64355183      0.753902256      0.137530506    
   1.50000000       7.49700665E-02  -5.60403728      0.346635312      0.271665245    
   1.60000002     -0.494804978      -5.09095764     -0.145500034      0.349304944    
   1.70000005     -0.942050099      -3.21757555     -0.602011919      0.340038180    
   1.80000007      -1.14605141     -0.460253239     -0.911130250      0.234921157    
   1.89999998      -1.04882026       2.46240687     -0.997172177       5.16480803E-02
   2.00000000     -0.671477020       4.77665663     -0.839071512      0.167594492    

 Eager Extra Virgin Olive Oiler
   t                x                y                act              err
   0.00000000       1.00000000       0.00000000       1.00000000       0.00000000    
  0.100000001      0.875000000      -2.34375000      0.877582550       2.58255005E-03
  0.200000003      0.531250000      -4.10156250      0.540302277       9.05227661E-03
  0.300000012       5.46875000E-02  -4.83398438       7.07371980E-02   1.60496980E-02
  0.400000006     -0.435546875      -4.35791016     -0.416146845       1.94000304E-02
  0.500000000     -0.816894531      -2.79235840     -0.801143587       1.57509446E-02
  0.600000024     -0.994018555     -0.528717041     -0.989992499       4.02605534E-03
  0.699999988     -0.922637939       1.86710358     -0.936456680       1.38187408E-02
  0.800000012     -0.620597839       3.79614830     -0.653643608       3.30457687E-02
  0.900000036     -0.163408279       4.77615595     -0.210795805       4.73875254E-02
   1.00000000      0.334633350       4.56212473      0.283662200       5.09711504E-02
   1.10000002      0.749016643       3.20756221      0.708669782       4.03468609E-02
   1.20000005      0.976145744       1.05110931      0.960170269       1.59754753E-02
   1.30000007      0.959238470      -1.36812091      0.976587534       1.73490644E-02
   1.39999998      0.702521563      -3.44532084      0.753902256       5.13806939E-02
   1.50000000      0.270174265      -4.66119051      0.346635312       7.64610469E-02
   1.60000002     -0.229716539      -4.71176243     -0.145500034       8.42165053E-02
   1.70000005     -0.672178268      -3.58439398     -0.602011919       7.01663494E-02
   1.80000007     -0.946595430      -1.56092668     -0.911130250       3.54651809E-02
   1.89999998     -0.984363675      0.852772236     -0.997172177       1.28085017E-02
   2.00000000     -0.776040971       3.05327821     -0.839071512       6.30305409E-02
