 Colourful Doggy
   t                x                y                act              err
   0.00000000       1.00000000       0.00000000       1.00000000       0.00000000    
  0.100000001      0.877604187      -2.39583325      0.877582550       2.16364861E-05
  0.200000003      0.540588379      -4.20518684      0.540302277       2.86102295E-04
  0.300000012       7.14255571E-02  -4.98564911       7.07371980E-02   6.88359141E-04
  0.400000006     -0.415107995      -4.54655027     -0.416146845       1.03884935E-03
  0.500000000     -0.800011516      -2.99554205     -0.801143587       1.13207102E-03
  0.600000024     -0.989166200     -0.712205887     -0.989992499       8.26299191E-04
  0.699999988     -0.936349452       1.74484253     -0.936456680       1.07228756E-04
  0.800000012     -0.654530048       3.77461839     -0.653643608       8.86440277E-04
  0.900000036     -0.212684035       4.88076591     -0.210795805       1.88823044E-03
   1.00000000      0.281087667       4.79293585      0.283662200       2.57453322E-03
   1.10000002      0.706006765       3.53286123      0.708669782       2.66301632E-03
   1.20000005      0.958160341       1.40897918      0.960170269       2.00992823E-03
   1.30000007      0.975912690      -1.05906653      0.976587534       6.74843788E-04
   1.39999998      0.754971147      -3.26756549      0.753902256       1.06889009E-03
   1.50000000      0.349424124      -4.67641401      0.346635312       2.78881192E-03
   1.60000002     -0.141500235      -4.94120264     -0.145500034       3.99979949E-03
   1.70000005     -0.597713113      -3.99740911     -0.602011919       4.29880619E-03
   1.80000007     -0.907640576      -2.07612181     -0.911130250       3.48967314E-03
   1.89999998     -0.995510817      0.352542639     -0.997172177       1.66136026E-03
   2.00000000     -0.839879096       2.69447088     -0.839071512       8.07583332E-04
